pci.bus_id, power.draw [W], utilization.gpu [%], memory.used [MiB]
00000000:0F:00.0, 57.47, 0, 39719
00000000:0F:00.0, 57.41, 0, 39719
00000000:0F:00.0, 57.68, 0, 39719
00000000:0F:00.0, 57.74, 0, 39719
00000000:0F:00.0, 57.68, 0, 39719
00000000:0F:00.0, 57.41, 0, 39719
00000000:0F:00.0, 57.47, 0, 39719
00000000:0F:00.0, 57.41, 0, 39719
00000000:0F:00.0, 57.47, 0, 39719
00000000:0F:00.0, 57.47, 0, 39719
00000000:0F:00.0, 57.47, 0, 39719
00000000:0F:00.0, 57.47, 0, 39719
00000000:0F:00.0, 57.47, 0, 39719
00000000:0F:00.0, 57.68, 0, 39719
00000000:0F:00.0, 57.47, 0, 39719
00000000:0F:00.0, 57.47, 0, 39719
00000000:0F:00.0, 57.47, 0, 39719
00000000:0F:00.0, 57.74, 0, 39719
00000000:0F:00.0, 57.74, 0, 39719
00000000:0F:00.0, 57.47, 0, 39719
00000000:0F:00.0, 57.74, 0, 39719
00000000:0F:00.0, 57.47, 0, 39719
00000000:0F:00.0, 57.47, 0, 39719
00000000:0F:00.0, 57.53, 0, 39719
00000000:0F:00.0, 57.47, 0, 39719
00000000:0F:00.0, 57.47, 0, 39719
00000000:0F:00.0, 57.47, 0, 39719
00000000:0F:00.0, 57.47, 0, 39719
00000000:0F:00.0, 57.47, 0, 39719
00000000:0F:00.0, 57.47, 0, 39719
00000000:0F:00.0, 57.47, 0, 39719
00000000:0F:00.0, 57.47, 0, 39719
00000000:0F:00.0, 72.15, 0, 39719
00000000:0F:00.0, 330.20, 96, 39719
00000000:0F:00.0, 72.75, 0, 39719
00000000:0F:00.0, 339.57, 98, 39719
00000000:0F:00.0, 108.22, 81, 39719
00000000:0F:00.0, 333.68, 38, 39719
00000000:0F:00.0, 363.58, 100, 39719
00000000:0F:00.0, 73.62, 0, 39719
00000000:0F:00.0, 341.91, 99, 39719
00000000:0F:00.0, 99.43, 79, 39719
00000000:0F:00.0, 338.45, 44, 39719
00000000:0F:00.0, 352.75, 100, 39719
00000000:0F:00.0, 74.09, 0, 39719
00000000:0F:00.0, 376.44, 100, 39719
00000000:0F:00.0, 86.14, 74, 39719
00000000:0F:00.0, 73.54, 0, 39719
00000000:0F:00.0, 58.28, 0, 39719
00000000:0F:00.0, 58.67, 0, 39719
00000000:0F:00.0, 58.67, 0, 39719
