pci.bus_id, power.draw [W], utilization.gpu [%], memory.used [MiB]
00000000:0F:00.0, 73.29, 0, 0
00000000:15:00.0, 53.87, 0, 0
00000000:51:00.0, 72.49, 0, 0
00000000:54:00.0, 76.13, 0, 0
00000000:8D:00.0, 54.90, 0, 0
00000000:92:00.0, 56.38, 0, 0
00000000:D6:00.0, 55.51, 0, 0
00000000:DA:00.0, 56.32, 0, 0
00000000:0F:00.0, 55.72, 0, 0
00000000:15:00.0, 52.94, 0, 0
00000000:51:00.0, 54.30, 0, 0
00000000:54:00.0, 57.31, 0, 0
00000000:8D:00.0, 52.83, 0, 0
00000000:92:00.0, 55.45, 0, 0
00000000:D6:00.0, 54.36, 0, 0
00000000:DA:00.0, 54.52, 0, 0
00000000:0F:00.0, 52.17, 0, 0
00000000:15:00.0, 51.79, 0, 0
00000000:51:00.0, 52.56, 0, 0
00000000:54:00.0, 54.63, 0, 0
00000000:8D:00.0, 52.83, 0, 0
00000000:92:00.0, 55.45, 0, 0
00000000:D6:00.0, 55.51, 0, 0
00000000:DA:00.0, 58.34, 0, 0
00000000:0F:00.0, 52.17, 0, 2
00000000:15:00.0, 51.52, 0, 2
00000000:51:00.0, 52.56, 0, 2
00000000:54:00.0, 54.96, 0, 2
00000000:8D:00.0, 52.83, 0, 0
00000000:92:00.0, 54.30, 0, 0
00000000:D6:00.0, 52.01, 0, 0
00000000:DA:00.0, 53.98, 0, 0
00000000:0F:00.0, 53.64, 0, 2
00000000:15:00.0, 55.00, 0, 2
00000000:51:00.0, 56.66, 0, 2
00000000:54:00.0, 54.36, 0, 2
00000000:8D:00.0, 56.05, 0, 0
00000000:92:00.0, 58.13, 0, 0
00000000:D6:00.0, 51.74, 0, 0
00000000:DA:00.0, 54.52, 0, 0
00000000:0F:00.0, 52.17, 0, 2
00000000:15:00.0, 51.52, 0, 2
00000000:51:00.0, 52.17, 0, 2
00000000:54:00.0, 54.36, 0, 2
00000000:8D:00.0, 55.45, 0, 2
00000000:92:00.0, 58.13, 0, 2
00000000:D6:00.0, 52.01, 0, 2
00000000:DA:00.0, 53.92, 0, 0
00000000:0F:00.0, 58.67, 3, 413
00000000:15:00.0, 53.87, 0, 2
00000000:51:00.0, 52.56, 0, 2
00000000:54:00.0, 54.63, 0, 2
00000000:8D:00.0, 52.83, 0, 2
00000000:92:00.0, 54.30, 0, 2
00000000:D6:00.0, 52.01, 0, 2
00000000:DA:00.0, 53.92, 0, 2
00000000:0F:00.0, 57.68, 0, 413
00000000:15:00.0, 57.02, 0, 413
00000000:51:00.0, 57.47, 0, 413
00000000:54:00.0, 59.94, 0, 413
00000000:8D:00.0, 58.67, 0, 73
00000000:92:00.0, 54.30, 0, 2
00000000:D6:00.0, 52.01, 0, 2
00000000:DA:00.0, 54.19, 0, 2
