pci.bus_id, power.draw [W], utilization.gpu [%], memory.used [MiB]
00000000:0F:00.0, 58.94, 0, 39721
00000000:0F:00.0, 57.47, 0, 39721
00000000:0F:00.0, 57.47, 0, 39721
00000000:0F:00.0, 57.47, 0, 39721
00000000:0F:00.0, 57.47, 0, 39721
00000000:0F:00.0, 65.11, 0, 39721
00000000:0F:00.0, 57.47, 0, 39721
00000000:0F:00.0, 57.47, 0, 39721
00000000:0F:00.0, 57.47, 0, 39721
00000000:0F:00.0, 57.41, 0, 39721
00000000:0F:00.0, 58.67, 0, 39721
00000000:0F:00.0, 57.47, 0, 39721
00000000:0F:00.0, 58.94, 0, 39721
00000000:0F:00.0, 57.47, 0, 39721
00000000:0F:00.0, 57.53, 0, 39721
00000000:0F:00.0, 57.53, 0, 39721
00000000:0F:00.0, 57.53, 0, 39721
00000000:0F:00.0, 63.42, 0, 39721
00000000:0F:00.0, 63.70, 0, 39721
00000000:0F:00.0, 63.42, 0, 39721
00000000:0F:00.0, 57.53, 0, 39721
00000000:0F:00.0, 57.53, 0, 39721
00000000:0F:00.0, 57.53, 0, 39721
00000000:0F:00.0, 57.53, 11, 39721
00000000:0F:00.0, 57.53, 0, 39721
00000000:0F:00.0, 59.00, 0, 39721
00000000:0F:00.0, 341.67, 0, 39721
00000000:0F:00.0, 361.29, 99, 39721
00000000:0F:00.0, 292.47, 70, 39721
00000000:0F:00.0, 375.96, 99, 39721
00000000:0F:00.0, 358.08, 99, 39721
00000000:0F:00.0, 288.94, 94, 39721
00000000:0F:00.0, 340.27, 98, 39721
00000000:0F:00.0, 327.00, 100, 39721
00000000:0F:00.0, 326.47, 100, 39721
00000000:0F:00.0, 306.22, 100, 39721
00000000:0F:00.0, 370.67, 100, 39721
00000000:0F:00.0, 352.61, 100, 39721
00000000:0F:00.0, 382.12, 98, 39721
00000000:0F:00.0, 354.08, 92, 39721
00000000:0F:00.0, 273.37, 97, 39721
00000000:0F:00.0, 354.08, 91, 39721
00000000:0F:00.0, 74.57, 0, 39721
00000000:0F:00.0, 384.74, 99, 39721
00000000:0F:00.0, 363.14, 100, 39721
00000000:0F:00.0, 361.12, 100, 39721
00000000:0F:00.0, 407.45, 100, 39721
00000000:0F:00.0, 75.52, 0, 39721
00000000:0F:00.0, 403.03, 59, 39721
00000000:0F:00.0, 352.00, 83, 39721
00000000:0F:00.0, 358.08, 88, 39721
00000000:0F:00.0, 427.38, 100, 39721
00000000:0F:00.0, 77.60, 0, 39721
00000000:0F:00.0, 398.07, 100, 39721
00000000:0F:00.0, 336.18, 100, 39721
00000000:0F:00.0, 348.79, 97, 39721
00000000:0F:00.0, 359.04, 100, 39721
00000000:0F:00.0, 335.85, 51, 39721
00000000:0F:00.0, 377.22, 100, 39721
00000000:0F:00.0, 340.87, 100, 39721
00000000:0F:00.0, 331.76, 100, 39721
00000000:0F:00.0, 79.96, 100, 39721
00000000:0F:00.0, 59.67, 0, 39721
00000000:0F:00.0, 59.67, 0, 39721
00000000:0F:00.0, 64.92, 0, 39721
