pci.bus_id, power.draw [W], utilization.gpu [%], memory.used [MiB]
00000000:0F:00.0, 51.85, 0, 0
00000000:0F:00.0, 51.85, 0, 0
00000000:0F:00.0, 51.85, 0, 0
00000000:0F:00.0, 57.41, 8, 569
00000000:0F:00.0, 64.17, 0, 38819
00000000:0F:00.0, 57.41, 0, 38819
00000000:0F:00.0, 64.17, 0, 38819
00000000:0F:00.0, 57.13, 0, 38819
00000000:0F:00.0, 57.41, 0, 38819
00000000:0F:00.0, 58.88, 0, 38819
00000000:0F:00.0, 58.88, 0, 38819
00000000:0F:00.0, 63.29, 0, 38819
00000000:0F:00.0, 57.74, 0, 38819
00000000:0F:00.0, 57.19, 0, 38819
00000000:0F:00.0, 57.19, 0, 38819
00000000:0F:00.0, 57.13, 0, 38819
00000000:0F:00.0, 63.29, 0, 38819
00000000:0F:00.0, 63.29, 0, 38819
00000000:0F:00.0, 60.95, 0, 38819
00000000:0F:00.0, 60.95, 0, 38819
00000000:0F:00.0, 60.95, 0, 38819
00000000:0F:00.0, 57.41, 0, 38819
00000000:0F:00.0, 64.17, 0, 38819
00000000:0F:00.0, 64.17, 0, 38819
00000000:0F:00.0, 64.17, 0, 38819
00000000:0F:00.0, 57.41, 0, 38819
00000000:0F:00.0, 57.41, 0, 38819
00000000:0F:00.0, 58.88, 0, 38819
00000000:0F:00.0, 57.68, 4, 39047
00000000:0F:00.0, 57.13, 0, 39195
00000000:0F:00.0, 57.47, 5, 39557
00000000:0F:00.0, 57.13, 0, 39631
00000000:0F:00.0, 343.30, 82, 39667
00000000:0F:00.0, 134.50, 7, 39719
00000000:0F:00.0, 304.12, 96, 39719
00000000:0F:00.0, 339.84, 100, 39719
00000000:0F:00.0, 314.41, 100, 39719
00000000:0F:00.0, 257.87, 100, 39719
00000000:0F:00.0, 318.17, 94, 39719
00000000:0F:00.0, 278.95, 100, 39719
00000000:0F:00.0, 279.85, 75, 39719
00000000:0F:00.0, 73.29, 0, 39719
00000000:0F:00.0, 327.54, 89, 39719
00000000:0F:00.0, 332.82, 90, 39719
00000000:0F:00.0, 270.47, 100, 39719
00000000:0F:00.0, 259.34, 100, 39719
00000000:0F:00.0, 274.28, 99, 39719
00000000:0F:00.0, 263.43, 100, 39719
00000000:0F:00.0, 75.56, 100, 39719
00000000:0F:00.0, 300.90, 100, 39719
00000000:0F:00.0, 320.84, 80, 39719
00000000:0F:00.0, 326.66, 100, 39719
00000000:0F:00.0, 327.86, 100, 39719
00000000:0F:00.0, 278.10, 100, 39719
00000000:0F:00.0, 278.97, 100, 39719
00000000:0F:00.0, 74.50, 88, 39719
00000000:0F:00.0, 311.46, 100, 39719
00000000:0F:00.0, 294.50, 100, 39719
00000000:0F:00.0, 343.38, 100, 39719
00000000:0F:00.0, 310.59, 98, 39719
00000000:0F:00.0, 316.75, 100, 39719
00000000:0F:00.0, 282.16, 100, 39719
00000000:0F:00.0, 293.30, 100, 39719
00000000:0F:00.0, 308.53, 34, 39719
00000000:0F:00.0, 317.62, 100, 39719
00000000:0F:00.0, 278.97, 100, 39719
00000000:0F:00.0, 287.74, 100, 39719
00000000:0F:00.0, 268.72, 100, 39719
00000000:0F:00.0, 353.89, 100, 39719
00000000:0F:00.0, 353.89, 100, 39719
00000000:0F:00.0, 282.50, 45, 39719
00000000:0F:00.0, 309.12, 100, 39719
00000000:0F:00.0, 283.65, 100, 39719
00000000:0F:00.0, 266.92, 100, 39719
00000000:0F:00.0, 313.80, 75, 39719
00000000:0F:00.0, 283.65, 100, 39719
00000000:0F:00.0, 307.92, 100, 39719
00000000:0F:00.0, 73.89, 0, 39719
00000000:0F:00.0, 73.62, 0, 39719
00000000:0F:00.0, 58.34, 0, 39719
00000000:0F:00.0, 58.34, 0, 39719
00000000:0F:00.0, 61.29, 0, 39719
