pci.bus_id, power.draw [W], utilization.gpu [%], memory.used [MiB]
00000000:0F:00.0, 55.19, 0, 0
00000000:0F:00.0, 55.46, 0, 0
00000000:0F:00.0, 55.74, 0, 0
00000000:0F:00.0, 58.64, 3, 507
00000000:0F:00.0, 63.68, 0, 601
00000000:0F:00.0, 64.57, 0, 38819
00000000:0F:00.0, 64.84, 0, 38819
00000000:0F:00.0, 57.76, 0, 38819
00000000:0F:00.0, 57.70, 0, 38819
00000000:0F:00.0, 64.50, 1, 38819
00000000:0F:00.0, 57.97, 0, 38819
00000000:0F:00.0, 64.43, 0, 38819
00000000:0F:00.0, 57.70, 0, 38819
00000000:0F:00.0, 64.50, 0, 38819
00000000:0F:00.0, 57.70, 0, 38819
00000000:0F:00.0, 63.55, 0, 38819
00000000:0F:00.0, 63.90, 0, 38819
00000000:0F:00.0, 63.90, 0, 38819
00000000:0F:00.0, 64.70, 0, 38819
00000000:0F:00.0, 64.70, 0, 38819
00000000:0F:00.0, 64.70, 0, 38819
00000000:0F:00.0, 57.92, 0, 38819
00000000:0F:00.0, 63.83, 0, 38819
00000000:0F:00.0, 57.64, 0, 38819
00000000:0F:00.0, 64.43, 0, 38819
00000000:0F:00.0, 61.21, 0, 38819
00000000:0F:00.0, 63.23, 11, 38819
00000000:0F:00.0, 57.64, 0, 38819
00000000:0F:00.0, 57.64, 0, 38819
00000000:0F:00.0, 64.92, 0, 38827
00000000:0F:00.0, 57.86, 4, 39061
00000000:0F:00.0, 57.64, 0, 39221
00000000:0F:00.0, 58.85, 2, 39453
00000000:0F:00.0, 57.64, 2, 39621
00000000:0F:00.0, 57.64, 0, 39631
00000000:0F:00.0, 321.23, 57, 39667
00000000:0F:00.0, 71.76, 0, 39697
00000000:0F:00.0, 280.14, 97, 39719
00000000:0F:00.0, 273.65, 99, 39719
00000000:0F:00.0, 292.74, 98, 39719
00000000:0F:00.0, 231.05, 100, 39719
00000000:0F:00.0, 272.45, 0, 39719
00000000:0F:00.0, 307.74, 100, 39719
00000000:0F:00.0, 257.47, 100, 39719
00000000:0F:00.0, 330.35, 100, 39719
00000000:0F:00.0, 261.29, 0, 39719
00000000:0F:00.0, 271.03, 100, 39719
00000000:0F:00.0, 311.88, 100, 39719
00000000:0F:00.0, 291.26, 98, 39719
00000000:0F:00.0, 73.85, 28, 39719
00000000:0F:00.0, 282.79, 72, 39719
00000000:0F:00.0, 274.52, 100, 39719
00000000:0F:00.0, 303.91, 100, 39719
00000000:0F:00.0, 75.60, 65, 39719
00000000:0F:00.0, 314.45, 100, 39719
00000000:0F:00.0, 264.58, 100, 39719
00000000:0F:00.0, 312.70, 100, 39719
00000000:0F:00.0, 77.95, 13, 39719
00000000:0F:00.0, 262.77, 95, 39719
00000000:0F:00.0, 272.45, 100, 39719
00000000:0F:00.0, 303.02, 77, 39719
00000000:0F:00.0, 322.71, 100, 39719
00000000:0F:00.0, 73.85, 0, 39719
00000000:0F:00.0, 58.85, 0, 39719
00000000:0F:00.0, 59.12, 0, 39719
00000000:0F:00.0, 65.84, 0, 39719
