pci.bus_id, power.draw [W], utilization.gpu [%], memory.used [MiB]
00000000:0F:00.0, 73.22, 0, 0
00000000:15:00.0, 73.66, 0, 0
00000000:0F:00.0, 53.59, 0, 0
00000000:15:00.0, 53.81, 0, 0
00000000:0F:00.0, 54.46, 0, 0
00000000:15:00.0, 53.42, 0, 0
00000000:0F:00.0, 57.68, 0, 413
00000000:15:00.0, 56.14, 0, 14
00000000:0F:00.0, 57.68, 0, 603
00000000:15:00.0, 57.02, 0, 489
00000000:0F:00.0, 58.88, 1, 38819
00000000:15:00.0, 58.76, 0, 38819
00000000:0F:00.0, 58.01, 1, 38819
00000000:15:00.0, 64.03, 0, 38819
00000000:0F:00.0, 57.68, 0, 38819
00000000:15:00.0, 63.44, 0, 38819
00000000:0F:00.0, 57.74, 0, 38819
00000000:15:00.0, 57.02, 0, 38819
00000000:0F:00.0, 57.68, 1, 38819
00000000:15:00.0, 57.02, 0, 38819
00000000:0F:00.0, 57.68, 0, 38819
00000000:15:00.0, 57.02, 0, 38819
00000000:0F:00.0, 58.01, 0, 38819
00000000:15:00.0, 57.02, 0, 38819
00000000:0F:00.0, 57.41, 0, 38819
00000000:15:00.0, 57.02, 0, 38819
00000000:0F:00.0, 57.47, 0, 38819
00000000:15:00.0, 57.02, 0, 38819
00000000:0F:00.0, 57.47, 0, 38819
00000000:15:00.0, 57.02, 0, 38819
00000000:0F:00.0, 57.47, 0, 38819
00000000:15:00.0, 62.57, 0, 38819
00000000:0F:00.0, 57.47, 0, 38819
00000000:15:00.0, 57.08, 0, 38819
00000000:0F:00.0, 57.47, 0, 38819
00000000:15:00.0, 57.08, 0, 38819
00000000:0F:00.0, 57.47, 0, 38819
00000000:15:00.0, 56.69, 0, 38819
00000000:0F:00.0, 64.50, 0, 38819
00000000:15:00.0, 57.02, 0, 38819
00000000:0F:00.0, 60.95, 0, 38819
00000000:15:00.0, 62.24, 0, 38819
00000000:0F:00.0, 57.41, 0, 38819
00000000:15:00.0, 62.57, 0, 38819
00000000:0F:00.0, 57.41, 0, 38819
00000000:15:00.0, 63.16, 0, 38819
00000000:0F:00.0, 57.41, 0, 38819
00000000:15:00.0, 62.24, 0, 38819
00000000:0F:00.0, 57.41, 0, 38819
00000000:15:00.0, 63.16, 0, 38819
00000000:0F:00.0, 57.41, 0, 38819
00000000:15:00.0, 62.24, 0, 38819
00000000:0F:00.0, 57.41, 0, 38819
00000000:15:00.0, 63.16, 0, 38819
00000000:0F:00.0, 62.97, 0, 38819
00000000:15:00.0, 63.44, 0, 38819
00000000:0F:00.0, 62.37, 0, 38819
00000000:15:00.0, 63.16, 0, 38819
00000000:0F:00.0, 64.44, 0, 38819
00000000:15:00.0, 57.08, 0, 38819
00000000:0F:00.0, 63.57, 0, 38819
00000000:15:00.0, 63.16, 1, 38819
00000000:0F:00.0, 57.68, 4, 39151
00000000:15:00.0, 57.02, 0, 38873
00000000:0F:00.0, 57.68, 0, 39173
00000000:15:00.0, 63.44, 0, 38883
00000000:0F:00.0, 57.68, 3, 39469
00000000:15:00.0, 57.02, 2, 39173
00000000:0F:00.0, 57.68, 0, 39497
00000000:15:00.0, 56.96, 0, 39187
00000000:0F:00.0, 57.41, 0, 39631
00000000:15:00.0, 57.02, 0, 39441
00000000:0F:00.0, 57.47, 0, 39639
00000000:15:00.0, 288.32, 0, 39639
00000000:0F:00.0, 72.15, 0, 39639
00000000:15:00.0, 71.32, 0, 39639
00000000:0F:00.0, 381.05, 42, 39667
00000000:15:00.0, 335.91, 94, 39667
00000000:0F:00.0, 336.01, 99, 39667
00000000:15:00.0, 325.65, 98, 39667
00000000:0F:00.0, 72.95, 0, 39667
00000000:15:00.0, 71.92, 0, 39667
00000000:0F:00.0, 354.40, 98, 39719
00000000:15:00.0, 367.40, 82, 39719
00000000:0F:00.0, 74.42, 95, 39719
00000000:15:00.0, 73.07, 0, 39719
00000000:0F:00.0, 136.97, 96, 40073
00000000:15:00.0, 114.19, 84, 40073
00000000:0F:00.0, 350.32, 99, 40073
00000000:15:00.0, 341.45, 99, 40073
00000000:0F:00.0, 325.46, 100, 40073
00000000:15:00.0, 329.77, 100, 40073
00000000:0F:00.0, 171.23, 100, 40073
00000000:15:00.0, 293.83, 96, 40073
00000000:0F:00.0, 359.07, 100, 40073
00000000:15:00.0, 376.14, 99, 40073
00000000:0F:00.0, 398.16, 100, 40073
00000000:15:00.0, 375.60, 100, 40073
00000000:0F:00.0, 75.89, 0, 40073
00000000:15:00.0, 74.86, 0, 40073
00000000:0F:00.0, 58.88, 0, 40073
00000000:15:00.0, 378.47, 62, 40073
00000000:0F:00.0, 352.66, 100, 40073
00000000:15:00.0, 278.98, 94, 40073
00000000:0F:00.0, 348.58, 100, 40073
00000000:15:00.0, 381.67, 100, 40073
00000000:0F:00.0, 412.88, 100, 40073
00000000:15:00.0, 398.94, 75, 40073
00000000:0F:00.0, 76.16, 0, 40073
00000000:15:00.0, 74.54, 0, 40073
00000000:0F:00.0, 74.09, 0, 40073
00000000:15:00.0, 73.07, 0, 40073
00000000:0F:00.0, 367.89, 100, 40073
00000000:15:00.0, 347.58, 98, 40073
00000000:0F:00.0, 354.99, 89, 40073
00000000:15:00.0, 323.91, 96, 40073
00000000:0F:00.0, 376.05, 100, 40073
00000000:15:00.0, 411.16, 100, 40073
00000000:0F:00.0, 347.10, 100, 40073
00000000:15:00.0, 354.26, 89, 40073
00000000:0F:00.0, 77.04, 0, 40073
00000000:15:00.0, 75.13, 0, 40073
00000000:0F:00.0, 75.29, 0, 40073
00000000:15:00.0, 73.32, 0, 40073
00000000:0F:00.0, 347.71, 100, 40073
00000000:15:00.0, 424.30, 100, 40073
00000000:0F:00.0, 411.91, 100, 40073
00000000:15:00.0, 402.00, 100, 40073
00000000:0F:00.0, 114.54, 100, 40073
00000000:15:00.0, 101.63, 75, 40073
00000000:0F:00.0, 76.35, 0, 40073
00000000:15:00.0, 73.66, 0, 40073
00000000:0F:00.0, 375.06, 81, 40073
00000000:15:00.0, 382.60, 97, 40073
00000000:0F:00.0, 340.09, 100, 40073
00000000:15:00.0, 395.42, 100, 40073
00000000:0F:00.0, 402.65, 100, 40073
00000000:15:00.0, 304.96, 100, 40073
00000000:0F:00.0, 76.24, 0, 40073
00000000:15:00.0, 74.27, 0, 40073
00000000:0F:00.0, 365.23, 100, 40073
00000000:15:00.0, 377.60, 100, 40073
00000000:0F:00.0, 345.36, 100, 40073
00000000:15:00.0, 369.14, 100, 40073
00000000:0F:00.0, 386.61, 100, 40073
00000000:15:00.0, 395.69, 99, 40073
00000000:0F:00.0, 407.93, 100, 40073
00000000:15:00.0, 351.93, 100, 40073
00000000:0F:00.0, 77.44, 0, 40073
00000000:15:00.0, 74.27, 0, 40073
00000000:0F:00.0, 60.09, 0, 40073
00000000:15:00.0, 64.10, 0, 40073
00000000:0F:00.0, 59.54, 0, 40073
00000000:15:00.0, 64.03, 0, 40073
00000000:0F:00.0, 59.54, 0, 40073
00000000:15:00.0, 72.80, 0, 40073
00000000:0F:00.0, 59.15, 0, 40073
00000000:15:00.0, 58.49, 0, 40073
00000000:0F:00.0, 58.88, 0, 40073
00000000:15:00.0, 63.71, 0, 40073
00000000:0F:00.0, 58.88, 0, 40073
00000000:15:00.0, 57.56, 0, 40073
